区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
东部,上海,2022,财政决算报告,physical,改造,市级投入21亿元，支持老旧小区改造以及既有多层住宅加装电梯工作,210000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,physical,改造,市级投入27.4亿元，支持城中村改造,274000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,公共安全,投入90亿元，支持健全公共安全、社会治安防控体系，强化科技支撑，提高超大城市运行风险隐患排查和应急处置能力,900000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,相对集中居住,投入39.2亿元，推进农民相对集中居住,392000.0,,上海市2022年市级决算.txt
东部,上海,2022,财政决算报告,human,对口支援,投入77.8亿元，巩固拓展对口支援地区脱贫攻坚成果同乡村振兴有效衔接，支持深化与革命老区重点城市的对口合作,778000.0,,上海市2022年市级决算.txt
东部,上海,2023,财政决算报告,human,预备费,2023年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排战略性新兴产业发展专项资金、产业高质量发展专项资金等支出,700000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,公共安全,全市公共安全支出473.5亿元，支持完善公共安全、社会治安防控体系，促进安全韧性城市建设,4735000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,高校,加大精准帮扶力度，全市多渠道统筹安排88亿元，综合实施高校、中职毕业生就业补贴、一次性吸纳就业补助等政策，持续强化高校毕业生、困难人群等重点群体就业支持和帮扶,880000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,就业,全市社会保障和就业支出1187.6亿元,11876000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,教育,落实“两个只增不减”要求，全市财政教育支出1206.1亿元,12061000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,东西部协作,投入78.8亿元，积极推进东西部协作与对口支援，支持对口帮扶地区巩固拓展脱贫攻坚成果同乡村振兴有效衔接，深化与革命老区重点城市对口合作,788000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,文化,全市文化旅游体育与传媒支出152.7亿元,1527000.0,,上海市2023年市级决算.txt
东部,上海,2023,财政决算报告,human,生态绿色一体化,设立第二轮长三角生态绿色一体化发展示范区先行启动区财政专项资金，沪苏浙“两省一市”按照相同比例共同出资，三年不少于100亿元,1000000.0,,上海市2023年市级决算.txt
东部,上海,2024,财政决算报告,human,生态绿色一体化,设立第二轮长三角生态绿色一体化发展示范区先行启动区财政专项资金，保持江浙沪“两省一市”出资规模三年累计不少于100亿元,1000000.0,,上海市2024年市级决算.txt
东部,上海,2024,财政决算报告,human,卫生,全市卫生健康支出732.2亿元,7322000.0,,上海市2024年市级决算.txt
东部,上海,2024,财政决算报告,human,文化,全市文化旅游体育与传媒支出151.8亿元,1518000.0,,上海市2024年市级决算.txt
东部,上海,2024,财政决算报告,human,东西部协作,投入79亿元，支持对口支援、东西部协作、革命老区对口合作，推动巩固拓展脱贫攻坚成果同乡村振兴有效衔接,790000.0,,上海市2024年市级决算.txt
东部,上海,2024,财政决算报告,human,节能环保支出,全市节能环保支出165.3亿元,1653000.0,,上海市2024年市级决算.txt
东部,上海,2025,财政预算报告,human,生态绿色一体化,设立第二轮长三角生态绿色一体化发展示范区先行启动区财政专项资金，保持江浙沪“两省一市”出资规模三年累计不少于100亿元,1000000.0,,上海市2025年预算.txt
东部,上海,2025,财政预算报告,human,卫生,全市卫生健康支出732.2亿元,7322000.0,,上海市2025年预算.txt
东部,上海,2025,财政预算报告,human,文化,全市文化旅游体育与传媒支出151.8亿元,1518000.0,,上海市2025年预算.txt
东部,上海,2025,财政预算报告,human,节能环保支出,全市节能环保支出165.3亿元,1653000.0,,上海市2025年预算.txt
东部,上海,2025,财政预算报告,human,东西部协作,投入79亿元，积极支持对口支援、东西部协作、革命老区对口合作，助推对口帮扶地区巩固拓展脱贫攻坚成果同乡村振兴有效衔接，深化区域合作和重点城市对口合作,790000.0,,上海市2025年预算.txt
东部,广州,2021,财政决算报告,human,补助,"支出1,035.2亿元，补助各区支出764.7亿元，上解省级以及安排",7647000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,卫生,卫生健康支出131.3亿元，基本持平,1313000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,援助其他地区支出,援助其他地区支出11.6亿元，基本持平,116000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,自然资源海洋气象等支出,自然资源海洋气象等支出4.8亿元，基本持平,48000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,保障,住房保障支出78.7亿元，基本持平,787000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,应急,灾害防治及应急管理支出5亿元,50000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,预备费,严格按照预备费使用范围安排支出5.5亿元，执行率为50%，剩余5.5亿元按规定补充预算稳定调节基,55000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,项目支出,2020年结转至2021年安排的部门项目支出6.2亿元，当年实,62000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,城市,城市基础设施配套费支出12.2亿元,122000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,车辆,车辆通行费支出2.4亿元,24000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,公益金,彩票公益金支出3.5亿元,35000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,建设,用于：一是国有企业资本金注入11.8亿元，支持公益性设施建设、,118000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,改革成本支出,历史遗留问题及改革成本支出9.8亿元,98000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,扩建,括：投入100.1亿元提升国际航空枢纽功能，白云机场三期扩建加,1001000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,文化,年市级财政共投入33.9亿元壮大城市文化综合实力,339000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,文化,投入5.1亿元推进公共文化事业发展，高标准完成中共三大会址、,51000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,文化,投入12.7亿元推动文化旅游产,127000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,体育,投入5.7亿元推动群众体育事业发展，打造“羊城运动,57000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,服务,市级财政共投入33.3亿元提升现代服务业水平,333000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,建设,投入10.1亿元加快建设现代,101000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,人才,投入23.5亿元推动人才强市建设，深入实施“广聚英才,235000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,创新,2021年市级财政共投入93.4亿元支持科技创新,934000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,创新,投入19.3亿元支持创新主体建设和推动创新成果转化，深,193000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,创新,投入6.1亿元营造科技创新创业,61000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,产业,主要包括：投入37亿元推进产业,370000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,创新,投入39.2亿元支持数字经济发展，获批国家人工智能创新应用先,392000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,补助,共投入产业园区补助资金226.6亿元,2266000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,软件,投入84.1亿元支持中新知识城、临空经济示范区、天河软件园等,841000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,城市,2021年市级财政共计投入455.8亿元推动城市治理，较上年,4558000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,乡村振兴,2021年市级财政共投入202亿元实施乡村振兴战,2020000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,农业,主要包括：投入52亿元发展现代都市农业，夺取粮食生产、,520000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,乡村,投入100亿元促进农民持续增收，加快北部山区乡村发展，2021年北部三,1000000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,生态环境,级财政共投入143.2亿元⑫推进生态环境治理,1432000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,污染防治,"主要包括：投入10亿元开展大气污染防治，完成3,000辆巡游出租车纯电动化的目",100000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,physical,系统,投入17.6亿元提升城乡生态系统质量，完成347宗闲置地块复绿和6.5万亩,176000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,社会治理,2021年市级财政共投入110.6亿元推进市域社会治理,1106000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,社会治安,要包括：投入13.2亿元推进平安广州建设和社会治安防控体系建,132000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,应急,投入4.3亿元健全完善应急体制机制，加强食品,43000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,保障,2021年市级财政共计投入651.8亿元保障和改善民生，较上,6518000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,保障,市级财政共投入235.1亿元提高基本民生保障水平,2351000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,保障,投入16.1亿元保障底线民生，,161000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,就业,投入9.2亿元强化就业优先政策，推动实现更充分更高质,92000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,医疗,投入45.7亿元完善基本医疗保险制度，不断扩大基本医疗,457000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,教育,2021年市级财政共投入256.4亿元建设高质量教育体系,2564000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,师资,主要包括：投入72.8亿元强化师资队,728000.0,,广州市2021年决算.txt
东部,广州,2021,财政决算报告,human,教育,投入44.7亿元发展基础教育，新改扩建一批中小学校，不断扩大,447000.0,,广州市2021年决算.txt
东部,广州,2022,财政决算报告,human,补助,"支出1,067.8亿元，补助各区支出765.3亿元，上解省级以及安排",7653000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,公务接待费,公务接待费支出0.1亿元，比年初预,1000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,购置,公务用车购置和运行维护费支出1.93亿元（其中,19300.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,项目支出,2021年结转至2022年安排的部门项目支出12.3亿元，当年,123000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,土地,其中：国有土地使用权出让金支出457.7亿元，,4577000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,城市,城市基础设施配套费支出6.7亿元,67000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,车辆,车辆通行费支出2.6亿元,26000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,公益金,彩票公益金支出3.6亿元,36000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,创新,主要用于：一是国有企业资本金注入15亿元，主要用于支持市属国有企业推进科技创新、产业发展等支,150000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,解决历史遗留问题及改革成本,二是解决历史遗留问题及改革成本支出9.8亿元,98000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,科技,投入84.1亿元支持科技创,841000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,产业,投入83.5亿元支持发展重点产业,835000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,产业,投入87.2亿元推动重大产业平台能级提升，中科院南,872000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,建设,投入367.8亿元完善交通枢纽建设,3678000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,服务,投入47亿元提升现代服务业水平,470000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,城乡,2022年市级财政共计投入378亿元统筹城乡一体协调发展，同比持平，推进城市管理向现代化、,3780000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,生态环境,投入129.3亿元全面改善生态环境质量,1293000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,physical,乡村振兴,投入138.9亿元全面实施乡村振兴战略,1389000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,教育,投入275.9亿元支持构建基本公共教育服务体系,2759000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,卫生,投入225.6亿元提高卫生健康服务水平，,2256000.0,,广州市2022年决算.txt
东部,广州,2022,财政决算报告,human,文化,投入36.2亿元支持推动文化综,362000.0,,广州市2022年决算.txt
东部,广州,2023,财政决算报告,physical,购置,公务用车购置和运行维护费支出1.94亿元（其中公务用车购置,19400.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,physical,项目支出,2022年结转至2023年安排的部门项目支出74.2亿元，当年,742000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,human,解决历史遗留问题及改革成本,二是解决历史遗留问题及改革成本支出1.9亿元,19000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,human,创新,2023年市级财政投入210.2亿元支持构建现代化产业体系，不断激发创新发展动能，同比增,2102000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,physical,建设,投入72.1亿元建设先进,721000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,human,服务,投入52.1亿元支持建设现代服务业强市，,521000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,physical,城市,2023年市级财政投入745.3亿元支持全面深化改革扩大开放，着力增强城市高质量发展核心,7453000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,physical,交通枢纽,投入498亿元支持强化海陆空交通枢纽功能，建成开通5号线东,4980000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,physical,建设,投入136.918亿元持续改善生态环境，推动华南国家植物园“城园融合”建设，,1369180.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,physical,乡村振兴,投入144.4亿元深入实施乡村振兴战略，支持全面推进“百,1444000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,human,保障,投入208.3亿元完善社会保障体系，兜牢基本民生底线,2083000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,human,医疗,投入169.8亿元发展医疗卫生健康事业，持续构建医疗高地,1698000.0,,广州市2023年决算.txt
东部,广州,2023,财政决算报告,human,教育,生实事，推动十件民生实事全部兑现，其中市本级投入14.6亿元，主要用于环境整治、住房保障、公共教育、食品安全、医疗,146000.0,,广州市2023年决算.txt
东部,广州,2024,财政决算报告,human,解决历史遗留问题及改革成本,二是解决历史遗留问题及改革成本支出1.9亿元,19000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,卫生,支出61.8亿元，主要用于科学技术、卫生健康、农林水等方面,618000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,预备费,2024年市本级安排预备费12亿元，实际,120000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,工业,市级财政投入110.3亿元支持加快推进新型工业化,1103000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,教育,2024年市级财政投入373.9亿元支持统筹推进教育科技人才,3739000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,科技,市级财政投入80.1亿元支持加快建设科技强市,801000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,教育,市级财政投入277.5亿元支持加快建设教育强市,2775000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,人才,政投入16.3亿元支持加快建设人才强市,163000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,建设,2024年市级财政投入977亿元支持加强城市建设与治理，强,9770000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,生态环境,市级财政投入161.8亿元支持优化生态环境,1618000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,城市,市级财政投入303.7亿元支持提升城市治理水平,3037000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,乡村振兴,市级财政投入168.1亿元支持扎实推进乡村振兴,1681000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,保障,市级财政投入195.2亿元支持提升社会保障水平,1952000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,human,文化,市级财政投入43亿元支持推进文化体育强市建,430000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,建设,政投入102.3亿元支持加强平安广州、法治广州建设,1023000.0,,广州市2024年决算.txt
东部,广州,2024,财政决算报告,physical,建设,投入129亿元聚焦“两重”“两新”建设重点任务，其中共争取获,1290000.0,,广州市2024年决算.txt
东部,广州,2025,财政预算报告,human,预备费,年市本级安排预备费12亿元，实际支出3.6亿元,120000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,养老,城乡居民基本养老保险基金支出65.2亿元，增,652000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,养老,机关事业单位基本养老保险基金支出176.6亿元，,1766000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,保险,全市社会保险基金预算本年收支结余33.5亿元，年末滚存结余,335000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,建设,市级财政投入207.1亿元支持重点平台建设,2071000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,教育,财政投入385.6亿元支持统筹推进教育科技人才机制一体改革,3856000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,科技,市级财政投入83.3亿元支持加快建设科技强市,833000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,教育,市级财政投入285.5亿元支持加快建设教育强市,2855000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,人才,市级财政投入16.8亿元支持加快建设人才强市,168000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,建设,政投入977亿元支持加强城市建设与治理，强化综合性门户功,9770000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,基础设施建设,市级财政投入511.5亿元支持加快交通基础设施建设,5115000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,生态环境,市级财政投入161.8亿元支持优化生态环境,1618000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,城市,市级财政投入303.7亿元支持提升城市治理水,3037000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,乡村,市级财政投入168.1亿元支持扎实推进乡村,1681000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,保障,市级财政投入236亿元支持提升社会保障水平,2360000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,学校,市本级投入4.7亿元，主要用于绿美广州建设、食品安全、学校,47000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,建设,投入129亿元聚焦“两重”“两新”建设重点任,1290000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,预备费,其中安排预备费12亿元,120000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,补助,加上上解支出114.5亿元、补助区级,1145000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,购置,公务用车购置及运行维护费预算2亿元，同比减少0.2亿元，主,20000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,养老,（4）机关事业单位基本养老保险基金支出181.5亿元，增,1815000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,保险,全市社会保险基金预算当年收支结余-6.3亿元，年末滚存结余,63000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,促消费,安排215.1亿元支持促消费扩,2151000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,建设,中安排201亿元用于加快相关项目建设，推动资金尽早形成实物,2010000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,physical,城市,安排294.8亿元支持加强城市,2948000.0,,广州市2025年预算.txt
东部,广州,2025,财政预算报告,human,保障,市级财政安排582亿元支持保障和改,5820000.0,,广州市2025年预算.txt
东部,杭州,2021,财政决算报告,human,消费券,"级配套资金47.6亿元,市区联动放大消费券叠加效应,激活消费",476000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,physical,物流,"市财政投入20亿元,支持现代商贸、物流体系高质量发展,",200000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,physical,建设,"市财政投入181.8亿元,聚焦超大城市建设和治理,持续完善以轨",1818000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,医院,"市财政投入44.4亿元,持续推进公立医院改革和",444000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,养老,"政投入79.8亿元,支持城乡居民基本养老保险基础养老金市域同",798000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,人才,"财政投入46.3亿元,统筹推进乡村产业、人才、文化、生态、组织等",463000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,福利,预算经济分类:机关工资福利支出61.2亿元、机关商品和服务支,612000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,补助,出11.3亿元、机关资本性支出3331万元、对事业单位经常性补助,3331.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,科学技术支出,科学技术支出40.3亿元,403000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,文化,文化旅游体育与传媒支出15.1亿元,151000.0,,杭州2021决算.txt
东部,杭州,2021,财政决算报告,human,就业,社会保障与就业支出66.5亿元,665000.0,,杭州2021决算.txt
